[0.37, u'individuals killed result']
[0.37, u'originated application republic']
[0.37, u'turkish government government']
[0.37, u'violation does lie']
[0.35999999999999999, u'2008 applicant complained']
[0.35999999999999999, u'application present case']
[0.35999999999999999, u'attempts obtain information']
[0.35999999999999999, u'just satisfaction injured']
[0.35999999999999999, u'prosecutor office grozny']
[0.34999999999999998, u'area exclusive control']
[0.34999999999999998, u'effective official investigation']
[0.34999999999999998, u'interests national security']
[0.34999999999999998, u'investigation son disappearance']
[0.34999999999999998, u'notes inadmissible grounds']
[0.34999999999999998, u'rate equal marginal']
[0.34999999999999998, u'section sitting chamber']
[0.34000000000000002, u'2005 judgment final']
[0.34000000000000002, u'applicant granted status']
[0.34000000000000002, u'complaint manifestly ill']
[0.34000000000000002, u'court finds remedy']
[0.34000000000000002, u'deprivation life shall']
[0.34000000000000002, u'dismisses unanimously remainder']
[0.34000000000000002, u'examination complaint merits']
[0.34000000000000002, u'government preliminary objection']
[0.34000000000000002, u'opened criminal investigation']
[0.34000000000000002, u'republic bulgaria lodged']
[0.34000000000000002, u'risk treatment contrary']
[0.34000000000000002, u'use lethal force']
[0.33000000000000002, u'99 26 2005']
[0.33000000000000002, u'authorities respondent state']
[0.33000000000000002, u'case court considers']
[0.33000000000000002, u'considers whilst complaint']
[0.33000000000000002, u'deciding equitable basis']
[0.33000000000000002, u'legislative administrative framework']
[0.33000000000000002, u'prosecutor office chechnya']
[0.33000000000000002, u'rule law prevent']
[0.33000000000000002, u'shall regarded inflicted']
[0.33000000000000002, u'suffering applicant dimension']
[0.33000000000000002, u'vulnerable position authorities']
[0.32000000000000001, u'european commission human']
[0.32000000000000001, u'failed carry adequate']
[0.32000000000000001, u'interests parties proper']
[0.32000000000000001, u'laptev representative russian']
[0.32000000000000001, u'legal aid council']
[0.32000000000000001, u'medical assistance provided']
[0.32000000000000001, u'parties proper conduct']
[0.32000000000000001, u'public scrutiny safeguard']
[0.32000000000000001, u'regarded inflicted contravention']
[0.32000000000000001, u'results use force']
[0.31, u'central bank default']
[0.31, u'convention reads far']
[0.31, u'convention rights freedoms']
[0.31, u'court shall necessary']
[0.31, u'falls committee ministers']
[0.31, u'great britain northern']
[0.31, u'inter alia eyewitness']
[0.31, u'ministry interior chechnya']
[0.31, u'onus government provide']
[0.31, u'person taken custody']
[0.31, u'shall necessary afford']
[0.31, u'subject editorial revision']
[0.29999999999999999, u'13 effective practice']
[0.29999999999999999, u'application republic turkey']
[0.29999999999999999, u'criminal proceedings brought']
[0.29999999999999999, u'enjoyment rights freedoms']
[0.29999999999999999, u'interests kin proceedings']
[0.29999999999999999, u'proof reasonable doubt']
[0.29999999999999999, u'prosecutor chechen republic']
[0.29999999999999999, u'reiterates according case']
[0.29999999999999999, u'required level public']
[0.29999999999999999, u'scrutiny satisfies minimum']
[0.29999999999999999, u'set effective judicial']
[0.28999999999999998, u'aid council europe']
[0.28999999999999998, u'context article convention']
[0.28999999999999998, u'domestic authorities failed']
[0.28999999999999998, u'entry force convention']
[0.28999999999999998, u'far relevant right']
[0.28999999999999998, u'grand chamber composed']
[0.28999999999999998, u'interests participants criminal']
[0.28999999999999998, u'period plus percentage']
[0.28999999999999998, u'recourse criminal law']
[0.28000000000000003, u'18 december 1996']
[0.28000000000000003, u'bank default period']
[0.28000000000000003, u'commission article 25']
[0.28000000000000003, u'forwarded chechnya prosecutor']
[0.28000000000000003, u'fundamental importance ineffective']
[0.28000000000000003, u'remedy subsequently aware']
[0.28000000000000003, u'satisfaction injured party']
[0.27000000000000002, u'applicants complained article']
[0.27000000000000002, u'commander office located']
[0.27000000000000002, u'complained article convention']
[0.27000000000000002, u'manifest disproportion gravity']
[0.27000000000000002, u'mentioned date procedure']
[0.27000000000000002, u'minimise greatest extent']
[0.27000000000000002, u'regard investigation carried']
[0.27000000000000002, u'russia judgment strasbourg']
[0.27000000000000002, u'similar unrebutted presumptions']
[0.27000000000000002, u'victim treatment contrary']
[0.26000000000000001, u'applicant dimension character']
[0.26000000000000001, u'article 38 convention']
[0.26000000000000001, u'britain northern ireland']
[0.26000000000000001, u'concerned detained authorities']
[0.26000000000000001, u'degree scrutiny satisfies']
[0.26000000000000001, u'depends circumstances particular']
[0.26000000000000001, u'effectiveness depends circumstances']
[0.26000000000000001, u'having regard circumstances']
[0.26000000000000001, u'incident occurred way']
[0.26000000000000001, u'investigation effectiveness depends']
[0.26000000000000001, u'pounds sterling gbp']
[0.26000000000000001, u'prevention torture inhuman']
[0.26000000000000001, u'procedural obligation arose']
[0.26000000000000001, u'process exhaustion domestic']
[0.26000000000000001, u'received adequate medical']
[0.25, u'2008 pursuant rule']
[0.25, u'94 echr 2000']
[0.25, u'applicant violation convention']
[0.25, u'article examined context']
[0.25, u'court heard addresses']
[0.25, u'detained authorities left']
[0.25, u'equal marginal lending']
[0.25, u'force agents state']
[0.25, u'human rights violation']
[0.25, u'law enforcement officers']
[0.25, u'left premises subsequently']
[0.25, u'life shall regarded']
[0.25, u'mere payment compensation']
[0.25, u'non exhaustion domestic']
[0.25, u'partial reparation consequences']
[0.25, u'redress breach convention']
[0.25, u'remedies preliminary objection']
[0.25, u'secure jurisdiction rights']
[0.25, u'taken crucial days']
[0.25, u'use force absolutely']
[0.25, u'whilst complaint article']
[0.23999999999999999, u'absence corpus delicti']
[0.23999999999999999, u'circumstances particular case']
[0.23999999999999999, u'effective practice law']
[0.23999999999999999, u'human rights situation']
[0.23999999999999999, u'investigation taken place']
[0.23999999999999999, u'mccann united kingdom']
[0.23999999999999999, u'separate examination complaint']
[0.23999999999999999, u'subsequently aware circumstances']
[0.23999999999999999, u'treatment punishment admissibility']
[0.23000000000000001, u'14 march 2006']
[0.23000000000000001, u'46231 99 26']
[0.23000000000000001, u'alia eyewitness testimony']
[0.23000000000000001, u'article 26 convention']
[0.23000000000000001, u'article admissible need']
[0.23000000000000001, u'having regard previous']
[0.23000000000000001, u'leading identification punishment']
[0.23000000000000001, u'month period runs']
[0.23000000000000001, u'official investigation individuals']
[0.23000000000000001, u'person concerned detained']
[0.23000000000000001, u'proportion procedural steps']
[0.23000000000000001, u'reads right life']
[0.23000000000000001, u'real immediate risk']
[0.23000000000000001, u'separately complaint article']
[0.23000000000000001, u'state complied obligation']
[0.23000000000000001, u'state legal obligation']
[0.23000000000000001, u'subsequently deprived liberty']
[0.22, u'appropriate civil redress']
[0.22, u'article 45 convention']
[0.22, u'ensure investigation received']
[0.22, u'founded meaning article']
[0.22, u'killed result use']
[0.22, u'law facts case']
[0.22, u'months settlement simple']
[0.22, u'percentage points reasons']
[0.22, u'persons responsible carrying']
[0.22, u'premises subsequently deprived']
[0.22, u'tax including value']
[0.22, u'treatment punishment cpt']
[0.22, u'unrebutted presumptions fact']
[0.20999999999999999, u'adequate medical treatment']
[0.20999999999999999, u'capable leading identification']
[0.20999999999999999, u'criminal proceedings police']
[0.20999999999999999, u'damage claimed applicant']
[0.20999999999999999, u'eighth ninth applicants']
[0.20999999999999999, u'euros plus tax']
[0.20999999999999999, u'evidence concerning incident']
[0.20999999999999999, u'hearing took place']
[0.20999999999999999, u'imposes respondent state']
[0.20999999999999999, u'kingdom great britain']
[0.20999999999999999, u'law prevent appearance']
[0.20999999999999999, u'northern ireland lodged']
[0.20999999999999999, u'represented agent mr']
[0.20999999999999999, u'secure evidence concerning']
[0.20999999999999999, u'terms priorities resources']
[0.20999999999999999, u'united kingdom great']
[0.20000000000000001, u'14 october 2003']
[0.20000000000000001, u'accordance article 44']
[0.20000000000000001, u'authorities left premises']
[0.20000000000000001, u'failure protect applicant']
[0.20000000000000001, u'jurisdiction rights freedoms']
[0.20000000000000001, u'objective analysis clinical']
[0.20000000000000001, u'present case investigation']
[0.20000000000000001, u'protect right life']
[0.19, u'2008 delivers following']
[0.19, u'28 august 2001']
[0.19, u'authorities reactions attitudes']
[0.19, u'committed criminal offence']
[0.19, u'complex required certain']
[0.19, u'conflict chechen republic']
[0.19, u'convention holds unanimously']
[0.19, u'convention notes inadmissible']
[0.19, u'damage sustained result']
[0.19, u'domestic courts court']
[0.19, u'eyewitness testimony forensic']
[0.19, u'importance ineffective practice']
[0.19, u'make safeguards practical']
[0.19, u'meaning article 35']
[0.19, u'permission prosecutor investigator']
[0.19, u'police officers duty']
[0.19, u'respondent state obligations']
[0.19, u'tax chargeable amounts']
[0.17999999999999999, u'authorities violation article']
[0.17999999999999999, u'costs expenses indicated']
[0.17999999999999999, u'desirable interests parties']
[0.17999999999999999, u'does necessarily require']
[0.17999999999999999, u'evidence court adopts']
[0.17999999999999999, u'examine separately complaint']
[0.17999999999999999, u'fail arguments issues']
[0.17999999999999999, u'foreign commonwealth office']
[0.17999999999999999, u'general office government']
[0.17999999999999999, u'group unidentified armed']
[0.17999999999999999, u'holds respondent state']
[0.17999999999999999, u'judgment subject editorial']
[0.17999999999999999, u'lives lost circumstances']
[0.17999999999999999, u'local prosecutor office']
[0.17999999999999999, u'points reasons court']
[0.17999999999999999, u'progress criminal proceedings']
[0.17999999999999999, u'public confidence authorities']
[0.17999999999999999, u'requested information concerning']
[0.17999999999999999, u'respect complaints articles']
[0.17999999999999999, u'satisfies minimum threshold']
[0.17999999999999999, u'states furnish necessary']
[0.17000000000000001, u'attitudes situation brought']
[0.17000000000000001, u'continue examination application']
[0.17000000000000001, u'convention safeguards right']
[0.17000000000000001, u'effect article 13']
[0.17000000000000001, u'established appropriate civil']
[0.17000000000000001, u'far does infringe']
[0.17000000000000001, u'follow obvious line']
[0.17000000000000001, u'having regard fact']
[0.17000000000000001, u'hierarchical institutional connection']
[0.17000000000000001, u'include proximity family']
[0.17000000000000001, u'integrity caused intentionally']
[0.17000000000000001, u'judgment court case']
[0.17000000000000001, u'lost circumstances potentially']
[0.17000000000000001, u'persons deprived liberty']
[0.17000000000000001, u'standpoint article convention']
[0.17000000000000001, u'state procedural obligation']
[0.17000000000000001, u'taken custody later']
[0.17000000000000001, u'violation convention rights']
[0.16, u'2011 judgment final']
[0.16, u'article 13 effective']
[0.16, u'complete accurate record']
[0.16, u'connection court notes']
[0.16, u'converted bulgarian levs']
[0.16, u'court assessment general']
[0.16, u'custody strong presumptions']
[0.16, u'engaging responsibility state']
[0.16, u'evidence assess evidence']
[0.16, u'existing remedy subsequently']
[0.16, u'free choose means']
[0.16, u'high contracting party']
[0.16, u'june 2005 prosecutor']
[0.16, u'law ensure cases']
[0.16, u'obligation imposed article']
[0.16, u'plus percentage points']
[0.16, u'post mortem examination']
[0.16, u'proper effective examination']
[0.16, u'recourse lethal force']
[0.16, u'safeguards practical effective']
[0.16, u'set sub paragraphs']
[0.16, u'shown believing person']
[0.16, u'significant proportion procedural']
[0.16, u'violation convention right']
[0.14999999999999999, u'19 december 2006']
[0.14999999999999999, u'29 march 2006']
[0.14999999999999999, u'acting article 46']
[0.14999999999999999, u'analysis clinical findings']
[0.14999999999999999, u'article provision convention']
[0.14999999999999999, u'documents grounds disclosed']
[0.14999999999999999, u'english notified writing']
[0.14999999999999999, u'facilities make possible']
